"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"B1","1","OpenLog","","","","OpenLog:OpenLog",""
"B2","1","HMC6343","","","","HMC6343_breakout:HMC6343",""
"B3","1","BMP180","","","","bmp180_breakout:bmp180",""
"B4","1","neo-m8u","","","","NEO-M8U:neo-m8u",""
"J1","1","Conn_01x10","","","","Connector_JST:JST_XH_S10B-XH-A-1_1x10_P2.50mm_Horizontal","~"
"J2","1","Conn_01x04","","","","Connector_JST:JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical","~"
"J3","1","Conn_01x03","","","","Connector_JST:JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical","~"
"J4","1","Conn_01x08","","","","Connector_JST:JST_XH_B8B-XH-AM_1x08_P2.50mm_Vertical","~"
"J5,J6","2","Qwiic_Connector","","","","Qwiic:Qwiic",""
"J7,J9","2","Conn_01x05","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J8,J10","2","Conn_01x08","","","","","~"
"J11,J12,J13","3","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"R1","1","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2,R3","2","4k7","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U1","1","MP1584","","","","MPT1584:SRT_MPT1584EN_Module",""
"U3","1","ESP32-DevKitC","","","","PCM_Espressif:ESP32-DevKitC","https://docs.espressif.com/projects/esp-idf/zh_CN/latest/esp32/hw-reference/esp32/get-started-devkitc.html"
